job_title,company_name,work_place,work_year,education,recruit_number,release_time,company_nature,company_size,industry,salary
Android开发工程师,北京棣南新宇科技有限公司,北京-海淀区,3-4年经验,本科,招若干人,1-28发布,外资（非欧美）,50-150人,"计算机软件,互联网/电子商务",1-1.5万/月
Android开发工程师,飞音软件（南京）有限公司,深圳-南山区,1年经验,大专,招2人,1-28发布,民营公司,50-150人,"计算机软件,互联网/电子商务",1-1.6万/月
Android逆向开发工程师,深圳爱加密科技有限公司,深圳,3-4年经验,大专,招1人,1-28发布,民营公司,150-500人,"互联网/电子商务,计算机软件",1.5-2.5万/月
Android开发工程师,重庆维普资讯有限公司,重庆-渝北区,2年经验,本科,招2人,1-28发布,民营公司,150-500人,互联网/电子商务,6-8千/月
Android开发工程师,付临门支付有限公司,上海-徐汇区,3-4年经验,大专,招1人,1-28发布,民营公司,500-1000人,"金融/投资/证券,互联网/电子商务",1.2-2万/月
Android开发工程师,奇和（上海）商务咨询有限公司,上海-虹口区,3-4年经验,本科,招5人,1-28发布,民营公司,1000-5000人,互联网/电子商务,1-1.5万/月
Android开发工程师,武汉精臣科技有限公司,武汉-洪山区,3-4年经验,本科,招1人,1-28发布,民营公司,150-500人,"互联网/电子商务,计算机软件",1.5-2万/月
Android开发工程师,博拉网络股份有限公司,重庆,3-4年经验,本科,招1人,1-28发布,民营公司,150-500人,"互联网/电子商务,广告",0.8-1.3万/月
Android开发工程师,深圳前海中民电商有限公司,深圳-南山区,无需经验,本科,招2人,1-28发布,民营公司,150-500人,互联网/电子商务,7-9千/月
Android开发工程师,上海极光网络科技有限公司,上海,2年经验,本科,招1人,1-28发布,民营公司,150-500人,"网络游戏,互联网/电子商务",1.5-2万/月
Android驱动工程师,深圳市阿尔法智汇科技有限公司,深圳-宝安区,5-7年经验,本科,招1人,1-28发布,民营公司,少于50人,"互联网/电子商务,电子技术/半导体/集成电路",1.5-2.5万/月
安卓开发工程师Android,深圳市中信网实业有限公司,深圳-龙岗区,2年经验,本科,招3人,1-28发布,民营公司,150-500人,互联网/电子商务,0.9-1.8万/月
Android高级开发工程师,湛江市致尚网络科技有限公司,湛江,1年经验,本科,招3人,1-28发布,民营公司,50-150人,"互联网/电子商务,通信/电信/网络设备",0.3-1.5万/月
Android开发工程师,上海上业信息科技股份有限公司,上海,2年经验,大专,招2人,1-28发布,民营公司,150-500人,"计算机软件,互联网/电子商务",0.8-1.2万/月
Android开发工程师,上海澳通信息科技有限公司,上海-嘉定区,3-4年经验,大专,招1人,1-28发布,创业公司,150-500人,互联网/电子商务,0.8-1.5万/月
Android高级开发工程师,北京蜜莱坞网络科技有限公司长沙分公司,长沙-岳麓区,5-7年经验,本科,招2人,1-28发布,上市公司,500-1000人,互联网/电子商务,1-1.5万/月
APP开发工程师（iOS/Android）,广州潘娜娜信息技术有限公司,广州-白云区,3-4年经验,本科,招1人,1-28发布,民营公司,50-150人,"互联网/电子商务,家具/家电/玩具/礼品",1.5-3万/月
Android开发工程师,广州斯沃德科技有限公司,广州,3-4年经验,本科,招1人,1-28发布,合资,50-150人,"互联网/电子商务,贸易/进出口",1-2.2万/月
Android开发工程师,抚州链视角互联网科技有限公司,抚州,5-7年经验,大专,招2人,1-28发布,民营公司,50-150人,"互联网/电子商务,计算机软件",0.8-1.2万/月
Android开发工程师,黑龙江欧博网络科技有限公司,哈尔滨-南岗区,3-4年经验,大专,招1人,1-28发布,民营公司,150-500人,"计算机软件,互联网/电子商务",4-6千/月
Android安卓开发工程师,深圳市奥嘉斯科技有限公司,深圳-龙岗区,2年经验,本科,招2人,1-28发布,民营公司,50-150人,互联网/电子商务,1-1.5万/月
Android开发工程师,广东维讯科技有限公司,广州-越秀区,3-4年经验,本科,招1人,1-28发布,外资（欧美）,50-150人,"互联网/电子商务,计算机软件",2-3万/月
Android开发工程师,辽宁荷紫电子商务有限公司,重庆-渝北区,无需经验,大专,招1人,1-28发布,民营公司,500-1000人,互联网/电子商务,0.5-1万/月
Android开发工程师,玩偶一号（武汉）科技有限公司,武汉-江岸区,3-4年经验,大专,招2人,1-28发布,民营公司,150-500人,互联网/电子商务,0.8-1万/月
Android开发工程师,上海陌远网络科技有限公司,上海-徐汇区,3-4年经验,本科,招1人,1-28发布,民营公司,50-150人,"计算机软件,互联网/电子商务",1-1.5万/月
android开发经理,上海数展文化创意有限公司,上海-闵行区,5-7年经验,大专,招3人,1-28发布,民营公司,50-150人,"计算机软件,互联网/电子商务",1.5-2.5万/月
Android开发工程师,吉步思（深圳）科技有限公司,深圳-龙华区,3-4年经验,大专,招2人,1-28发布,民营公司,50-150人,互联网/电子商务,1-1.5万/月
Android开发工程师,无锡中铠信息咨询服务有限公司,无锡-滨湖区,1年经验,大专,招1人,1-28发布,民营公司,50-150人,"互联网/电子商务,专业服务(咨询、人力资源、财会)",0.8-1.2万/月
Android原生开发工程师,广东聚源创建软件科技有限公司,中山,2年经验,大专,招2人,1-28发布,民营公司,50-150人,"互联网/电子商务,计算机软件",0.6-1.2万/月
Android系统工程师,杭州掌盟软件股份有限公司,杭州,1年经验,本科,招2人,1-28发布,上市公司,150-500人,"计算机软件,互联网/电子商务",0.8-1.6万/月
Android开发工程师,九河信息技术（上海）有限公司,上海-松江区,3-4年经验,本科,招1人,1-28发布,民营公司,150-500人,"互联网/电子商务,贸易/进出口",2-3万/月
Android开发工程师,湖南鼎太网络科技有限公司,长沙-芙蓉区,1年经验,大专,招3人,1-28发布,民营公司,50-150人,"互联网/电子商务,计算机软件",0.5-1.2万/月
Android工程师,杭州特扬网络科技有限公司,杭州-江干区,3-4年经验,大专,招1人,1-28发布,民营公司,50-150人,"互联网/电子商务,计算机软件",0.8-1.2万/月
